Standard,Non-Standard
nako kakagigil din kayo,nko ka2ggil dn kau
dahil nga basura kayo,dhil nga bsura kau
patugtog malakas,pa2g2g mlkas
kayong mga makakapal mukha,kaung mga mkkapal mkha
laki ng tiyan,lki ng tyan
tabak yan hawak mo,tbk yn hwk m
yung paliwanag diyos ko,yun pliwnag jusko
lalabanan yan,la2banan yn
bakit mas pinili tulungan,bkit ms pnili 2lungan
kung ano ang dahilan,kun no an dhilan
kinampihan mo,knamphan m
punta kami sa harap,pnta kmi s hrap
pagsabihan niyo anak niyo,pgsbhan nyo ank nyo
binantahan lang basta,bnanthan lng bsta
sino ba ang pasimuno,cno b an pacmuno
kasalanan niyo ang nangyari,kaslanan nyo an ngyri
ang punot dulo niyan,an pnot dlo nyan
hindi na po banta iyan,ndi n p bnta iyn
kung ako siguro may tinaga ako,kun aq cguro my tnaga aq
nainis ako sa mga babae,nanis aq s mga ba2e
magdamag na walang tulog inuman,mgdmg n wlng 2log numan
yung hinihila yung may ari,ung hnihila ung my ri
sobrang galing mo,sbrang gling m
nakaka bulahaw naman kayo,nkka blahaw nmn kau
hindi mo alam patakaran,hnd m alm ptkaran
salitang respeto,slitang rspe2
nakakamiss ka,nkkmiss k
kantutin ko kayo eh,kan2tin q kau e
pinag wasak na yan,png wsak n yn
hindi niya daw kilala,hnd nya dw kla2
kilala pala niya,kla2 pla nya
kayo ang dahilan,kyo an dhilan
gumagawa ng kwento,gumgwa ng kwen2
dami arte niyan,dmi rte nyan
wag kana kasi mag rason,wg kna kc mg rson
kayo sa kapitbahay niyo,kyo s kptbhay nyo
sabi niya hindi ko kilala,sbi nya hnd q kla2
maswerte kayo yan lang,mswrte kau yn lng
walang aminan,wlng aminn
bago siya magsalita,bgo xa mgslta
sana mayroon din dito,sna meron dn d2
pwede niya din kasuhan,pwd nya dn ksuhan
abuso naman kayo kasi,abso nmn kau kc
malaki talagang mali din ng kabataan,mlki tlgang mli dn ng kbtaan
sira ulo ka kasi,sra lo k kc
talagang may salot,tlgang my slot
isturbo mga yan,s2rbo mga yn
kumakampi pa kayo,kmakmpi p kau
ganyan ang ugali,gnyn an ugli
magsiliparan pa mga ngipin,mgclipran p mga ngipn
biglang bumait hala,bglng bmait hla
sana pinag bigyan,sna png bgyn
abusado pa rin kayo,absado p rn kau
pakulong mo nayan mayabang,pklong m nyn mybng
mapipikon ka talaga,mapi2kon k tlga
wag kana mag rason,wg kna mg rson
sikat kana pati,skt kna pti
diba nagising na sila,dba ngicing n cla
hindi dapat manghampas,hnd dpt mnghmpas
bobo lang maniwala sayo,bb lng mniwla sau
maingay kung sa maingay,maingy qng s maingy
pasaway na yan,psawy n yn
sino naman lalapit,cno nmn la2pit
baka lang daw napulot,bka lng dw nplot
matatanong ka talaga niya,mata2nong k tlga nya
bakit doon pa kayo sa tapat,bat don p kau s tpt
iyan napala niyo,iyn npla nyo
hindi yan malulusutan,ndi yn malu2sutn
kasuhan na lang,ksuhan n lng
dala dala ka ng itak,dala2 k ng itk
sino lalapit sayo,cno la2pit sau
kanina kapa ako harapin mo,knina kpa aq hrapin m
ano ba iyan,no b iyn
sikat na siya,ckat n sya
abusado yan kulong natin,absado yn klong ntin
wala silang pakialam,wla clang pake
mag walwal magdamag,mg wal2 mgdmag
isip isip din kasi,isip2 dn kc
maiksi pa,miksi p
tinatakot lang kayo,tnatkot lng kau
balak niya iyon,blak nya yon
panay palusot,pnay plusot
dapat harapin mo na siya,dpt hrpin m n xa
sa gitna ba naman,s gtna b nmn
itapon iyan,itpon iyn
dapat sila ang kasohan,dpt cla an ksohan
hay naku mali ka parin,hy nku mli k prin
tibay mag imbestiga,tbay mg mbestga
mali niya tapos siya sa akin,mli nia tpos xa s aqn
ganyan parin sila,gnyn prin cla
wag natin ilagay ang batas saating kamay,wg ntin ilgay an btas sting kmy
pa iyak iyak pa,p iyak2 p
bahay ninyo,bhay nnyo
huli ka,hli k
ang hirap kaya magpahinga,an hrap kya mgpahnga
sinong gago ang lalapit,cnong ggo an la2pit
nagpapatogtog ate,ngppatog2 te
kayo na tigil hinaan,kyo n thil hinan
wala ba kayong utak,wla b kyong utk
angas naman nila,angs nmn nla
kitang kita sa bidyu,ktang kta s bdyu
abutin pa kayo,abtin p kau
lalo na mga lasing,alo n mga lacng
punto din naman,pun2 dn nmn
kulang ka kasi sa pansin,klang k kc s pncn
dapat nakipagtagaan,dpt nkpgtagaan
panay na ang palusot,pnay n an plusot
nagkaka bulol na,ngkka blol n
pero kahit ano pa man,pro khit no p mn
tagal kong hinintay to,tgal qng hninty 2
dapat kasi umamin,dpt kc umamn
bakit hindi nalang tumawag,bkit ndi nlng 2mawag
bait mo pa ngayon,bait m p ngaun
hinatak niya pa,hnatk nya p
galing mo talaga,gling m tlga
hindi naman mapupunta sa ganyan,di nmn mpu2nta s gnyn
may dahilan pala,my dhiln pla
ang lupet niyo,an lpet nyo
pahingi po,penge p
bobo kang pulis ka,bb kng plis k
mga bata kasi pasaway,mga bta kc psway
bawal yan dito,bwal yn d2
dapat hinuli iyan,dpt hnuli iyn
idol ka talaga,lodi k tlga
nakasanayan na talaga,nksanayn n tlga
hindi mo naman siya kinakawayan,ndi m nmn xa knakwayan
magaling kayo mag salita,magling kau mg slita
parang iyong dayo may kasalanan,prang un dyo my kaslanan
sinungaling talaga,cnungaling tlga
wala naman na,wla nmn n
sana mahinahon,sna mhinahon
dapat lang sa mga yan,dpt lng s mga yn
dapat naman po pantay,dpt nmn p pntay
wala problema iyon,wla prblema yon
bigyan ng pera iyan,bgyn ng pea iyn
babae maghapon inuman,ba2e mghpon numan
hindi niyo rinig,ndi nyo rnig
babawal sa batas,ba2wal s btas
kaya idol kita,kya lodi kta
ang daming alam,an dming alm
sakit talaga sa ulo,skit tlga s lo
sana po ay masagot,sna p i msagot
para wala tayong gulo,pra wla taung glo
mali ka talaga,mli k tlga
nangialam kapa,nangialm kpa
sana lahat malakas,sna lhat sakalam
diba bawal sa labas,dba bwal s lbas
wag naman ganyan,wg nmn gnyan
umay sa mga ganyang tao,umy s mga gnyng tao
walang hiya kaba sa apo mo,langya kba s apo m
inabuso pa kayo pa naapi,inbuso p kau p napi
kung hindi sila ignorante,kundi cla ignornte
bukas na po yung tanggapan niyo,bkas n p ung tnggapan nyo
kitang kita naman sa kamera,ktang kta nmn s kmera
pansinin mo kasi minsan,pnsinin m kc minsn
kita naman ah,kta nmn a
ang masasabi ko lang,an masa2bi q lng
nag ingay ang kasuhan,ng ngay an ksuhan
nakakaistorbo kayo,naka2istorbo kau
lalo pag matanda na,alo pg mtnda n
lahat dapat sakop ng batas,lht dpt skop ng btas
dapat sa bundok tumira,dpt s bndok tumra
yung iba kasi parang nananadya,ung ba kc prang na3dya
sa halip sa korte nalang,s hlip s krte nlng
dami nag aabang,dmi ng aabng
minsan pag nabubuking na,mnsan pg nabu2king n
iyan ang napapala,iyn an nppala
hindi kasi niyaya,ndi kc niya2
hindi mo ginamit pinag aralan mo,hnd m gnamit pnag arlan m
babarilin ko pa yan,ba2rilin q p yn
kamusta kayo,kmusta kau
kahit walang selebrasyon,ket wlng clebrasyon
huli sa mga salita,uli s mga slita
parang pareho sila mali,prang preho cla mli
nilalahat ko kayo,nila2hat q kau
may mali din kasi sila,my mli dn kc cla
hindi naman araw araw,ndi nmn araw2
nangyare na,nanyre n
ayon ibig niyang sabihin,yon ibg nyang sbhin
dami kong natutunan,dmi qng natu2nan
dapat lang na sirain,dpt lng n crain
pwede naman niya puntahan,pwd nmn nya punthan
ugok parin,ugk prin
maaga ka kunin,maga k qnin
matubuan pigsa,mtubuan pgsa
pano pag sanggol pa,pno pg snggol p
ito naman yong matador,i2 nmn yon mtador
may utak naman,my utk nmn
mas gusto kita kaysa sakanya,ms gsto kta kesa sknya
doon dapat sila sa gilid,don dpt cla s glid
hindi na kasalanan iyon,di n kaslanan yon
wala namang masama,wla nmng msama
palibhasa mayaman,plibhsa myaman
sino ba naman matutuwa,cno b nmn ma22wa
ngayon nagka gulo na,ngaun ngka glo n
dahil dito sa amin,dhil d2 s min
konsidirasyon sa kapitbahay,konsidrsyon s kpitbhay
pag pinirwisyo magsusumbong,pg pnirwisyo mgssumbong
nakahanap kayo ng katapat,nkahnap kau ng ktapat
sila pa may gana,cla p my gna
kahit yung dulo,khit ung dlo
pasaway din kayo,psaway dn kau
uminit na ulo,umnit n lo
mukhang agrabyado,mkhang agrbyado
parehas naman sila,prehas nmn cla
daanin sa dahas,danin s dhas
dapat talaga masaya,dpt tlga msaya
hinatak mo naku,hnatak m nku
wag niyo kampihan,wg nyo kmphan
hustisya daw kala mo naman,ustisya dw kla m nmn
walang tikas ang tanong,wlng tkas an tnong
mang huli ng salita,mng uli ng slita
bakit nag inoman sa kalsada,bkit ng inomn s klsada
mali parin na may dalang taga,mli prin n my dlng tga
parehas may mali,prehas my mli
baka pinabaril ko na iyan,bka pnabaril q n iyn
kasi kung talagang sinaktan,kc kun tlgang cnaktan
mag babayad niyan,mg bbayad nyan
harap ng bahay nila,hrap ng bhay nla
hina mo naman idol,hna m nmn lodi
parang sila lang ang nandun,prang cla lng an nndun
ewan ko ba sa batas,ewn q b s btas
punto na gustong kunin,pnto n gstong knin
ang tanga lang nang tanong,an tnga lng nan tnong
matanda na sinungaling pa,mtanda n cnungaling p
mas lamang yung mali niya,ms lmng ung mli nya
dahil nauna,dhil nuna
ubod ng sinungaling,ubd ng cnungaling
may itak siya,my itk xa
para patas kasi,pra ptas kc
magsampa ng kaso ang panalo,mgsmpa ng kso an pnalo
biktima kami nito,bktima kmi n2
tumutubo mas lalo,2mu2bo ms alo
asahan mo na walang laman,ashan m n wlng lmn
para sa akin,pra s akn
wag niyo tulungan,wg nyo 2lungan
dumayo pa sa tapat,dmayo p s tpat
pwede naman magsiyahan,pede nmn mgcyayahan
mukhang tanga,mkhang tnga
simula palang sinabi na,cmula plang cnabi n
hindi ka mamamatay,ndi k ma3tay
may pa tawa tawa pa,my p tawa2 p
dahil ang katigasan,dhil an ktgasan
umaga na eh,umga n e
nakakatawa ka,nkkatwa k
baka may sabwatan diyan,bka my sbwatan jan
kayo naman oh,kau nmn o
mali din si ate,mli dn c te
iba na pala,ba n pla
hindi dapat yan,ndi dpt yn
ang galing,an gling
dami niyong usapan,dmi nyong uspan
kapag lagpas na,kpg lgpas n
ang bobo naman,ambobo nmn
gagawa kayo ng eksena,ggawa kau ng xsena
kabataan tigas ulo,kbataan tgas lo
mas bastos narin kasi,ms bstos nrin kc
hindi niya kayang lusutan,ndi nya kyang lusutn
pareho may mali,preho my mli
kumilos naman kasi,qmilos nmn kc
hindi mo kami maloloko,dmo kmi mloloko
paniniwalaan kaagad,pniniwlaan kagad
may bitbit na patalim,my bit2 n ptalim
grabe naman kayo,grbe nmn kau
bakla talaga yan,bkla tlga yn
sabi niya nakikita niya,sbi nya naki2ta nya
simula palang nakinig na,cmula plang naknig n
akala mo hindi ka,akla m d k
mga kabataan talaga ngayon,mga kbtaan tlga ngaun
binabaliktad na,bnabliktad n
ikaw lang kausap,ikw lng kausp
huli sa akto,uli s ak2
ibalik ang nakaraan,iblik an nkraan
may mali talaga rin ito,my mli tlga rn i2
bastos talaga iyan,bstos tlga iyn
pwede kana gumawa,pede kna gumwa
kaya mamimihasa mga yan,kya mami2hsa mga yn
bobo mo,bb m
siya lang malakas,sya lng sakalam
wag ka tatanga tanga,wg k ttanga tnga
grabe naman umabot,grbe nmn umbot
dapat lang maputol,dpt lng mputol
kampante naman kayo,kmpnte nmn kau
asan na,asn n
hawak mo sabihin mo,hwk m sbihin m
isumbong mo,ismbong m
nakapaikot sa inyo,nkpaikot s inu
yung magugulo pa,ung mgugulo p
marunong kang sumagot,mrunong kng smagot
kala ko ano na,kla q no n
pakisamahan lang iyan,pkismhan lng iyn
kapag mga lasing na,kpg mga lsing n
aminado naman pala,amnado nmn pla
wag ka na magpaliwanag,wg k n mgpliwanag
ang lupet talaga,an telup tlga
pareho silang mali,preho clang mli
lagot ka,lgot k
dami nang problema sa mundo,dmi nng prblema s mndo
hindi masyado naintindihan,ndi msyado naintndhan
itatapon ko lahat,ita2pon q lhat
sobrang mali,sbrang mli
ewan ko lang,ewn q lng
matatapang pa,mta2pang p
bawal manutok,bwl mnutok
tamang desisyon,tmng dsisyon
sana marami kapa,sna mrami kpa
idol kita,lodi kta
hindi naman pala tapat,di nmn pla tpat
huli kana,uli kna
magsaya magdamag,mgsya mgdmag
nakakairita pa,nkkairita p
gusto ko lang paglaki ko,gsto q lng pglaki q
napasarap daw,npasrap dw
sumunod kasi,smunod kc
matandang sinugaling,mtndang cnungaling
saka hindi katwiran,ska di ktwiran
mapapaamin talaga,mppaamin tlga
pinayagan naman kayo,pnayagan nmn kau
ano yung kasama niyo,no ung ksama nyo
kahit sino magwawala,khit cnu mgwwla
sa bahay niyo lang kayo,s bhay nyo lng kyo
nagtawag ka nalang sana,ngtwag k nlng sna
makiramdam naman kasi,mkirmdam nmn kc
dala na yan ng galit,dla n yn ng glit
sarap niyo kasi,srap nyo kc
natatandaan ko pa,nta2ndaan q p
walang galang,wlng glang
gusto niyang palapiting yung may ari,gsto nyang plapiting ung my ri
kahit ako ayoko sayo,khit aq auko sau
magandag trabaho,mgandang trbaho
mga itsura niyo,mga tsura nyo
tapang mo grabe ka,tpang m grbe k
pwedeng maka patay,pedeng mka ptay
hindi tuloy ako nakakapasok trabaho,di 2loy aq nkkapsok trbaho
pakulong yan,pqlong yn
kung ako sayo lagot ka,kun aq sau lgot k
tanga mong hayop ka,tnga mng haup k
nandito ako malakas tama,nand2 aq mlkas tma
hindi porket,ndi prket
wala na kayo,wla n kau
pagsikat ng araw,pgsikt ng arw
lipat kayo ng pwesto,lpat kau ng pwes2
hindi kayo magkasundo,ndi kau mgksundo
dapat magbigayan,dpt mgbgayan
nag padala kana ba,ng pdala kn b
parehong tanga ang pota,prehong tnga amp
tumawag siya,2mawag sya
pano naman kung bakal iyon,pno nmn kun bkal iun
dapat daanin sa dahas yan,dpt danin s dhas yn
parehas lang may pagkakamali,prehas lng my pgkkamli
dapat hindi nag dahas,dpt d ng dhas
pasaway naman kayo,psawy nmn kau
tama lang sinira,tma lng cnira
yan dapat sa inyo,yn dpt s inu
mabuhay kayo,mbuhay kau
gumagalaw pa ba iyon,gmaglaw p b iun
kaya sinundan ko dito,kya cnundan q d2
sabay sila,sbay cla
lumabag din yan,lumbag dn yn
para walang gulo,pra wlng glo
pakikisama na lang,pki2sama nlng
pake ko ba sayo,pke q b sau
lalakas ng tama,la2kas ng tma
hindi na sana siya lumabas,d n sna sya lumbas
hawak niya,hwk nya
ano ba hawak niya,no b hwk nya
kaso na yan,kso n yn
wala siya papanigan diyan,wla sya pa2nigan jan
kagagawan niyo din yan,kaga2wan nyo dn yn
ano pa kaya,no p kya
dapat talaga ibalik,dpt tlga iblik
alam niyo naman mali,alm nyo nmn mli
guli din,glo dn
palang pala,plang pla
malakas ang tama,mlkas an tma
sila pa may gana,cla p my gna
sa panahon ngayon,s pnahon ngaun
pero nasa kanya padin,pro nsa knya pdin
hindi nga,d nga
dapat nagreklamo na lang,dpt ngrklamo n lng
para hindi makulong,pra d mkulong
ang lumanay,an lmanay
kakainin kana ng lupa,ka2inin kna ng upa
nakakasagasa kasi,nka2sagasa kc
dapat sa pandemik,dpt s pndemik
dapat naglalabas ganoon,dpt ngla2bas ganon
barumbado ito,brumbado i2
sablay na nga eh,sblay n nga e
kumbaga sa kalusugan,kmbaga s klusugan
dapat bigyan leksyon,dpt bgyn lksyon
kami nang dalawa,kmi nng dlwa
nasabi ko lang po yun,nsbi q lng p un
hindi ko maintindihan,ndi q maintndihan
puro batas pinapairal,pro btas pnapairal
matanda eh,mtnda e
mahal na kita,mhal n kta
baka lang naman,bka lng nman
dami ko tawa,dme q twa
nanonood ako ngayon,nano2od aq ngaun
dahil daw wala siya,dhil dw wla xa
wala ako masabi,wla aq msabi
Baka ginawa lang nila ito,Bka gnawa lng nla to
pa uusapan lang iyan,pg uusapn lng yan
pwede naman kayo,pwd nman kau
hayop kayo,haup kau
walanghiya kayo,langyah kau
di ko na papanoorin,d q n pa2noorin
di ko kaya siya,dko kya xa
kaysa naman askin,kesa nman sken
di naman niya gagawin iyon,d nman nia ga2win un
nadadala ka talaga,nada2la k tlga
baka siya siguro,bka cia cguro
kayo lang pala may gusto nito,kau lng pla my gsto nto
Habang nanonood kami,Habng nano2od kme
Parang hindi naman magkaaway,Prang hndi nman mgkaaway
Di mo tinapos,D m tnapos
lalapit lang sa akin kapag gusto,la2pit lng sken kpag gsto
Pero kung kami sila,Pro kng kmi cla
diyos ko asawa mo iyan,jusq aswa m yan kya 
para sa akin naman,pra sken nman
sa kanya tayo ulit sasama,sknya tau uli sa2ma
Kung di pa siya marunong,Kng d p sya mrunong 
Ginawa lang nila iyan idol,Gnawa lng nla yan lods
seryoso mo naman,sryoso m nman
Tawang tawa naman ako DITO,Tawang2x nmn ako D2
Halata naman hindi totoo,Hlata nmn nde ttoo
gamit namin sa araw araw kasama,gmit nmin s araw2 ksama
iyon pala iyon,un pla yon
Gusto lang mapag usapan iyan,Gsto lng mpag usapn yan
babaw niyo naman,bbaw niu nman
pwede naman sana,pwdi nman sna
Walang hiya ka talaga,Lang ya q tlaga
Pwede pa ba kami?,Pede p b kmi?
kasi gusto mo malaman,kc gsto m mlaman
para naman sa kanila,pra nman s knla
pag kayo napano,pg kau npano
kasi naman kayo,kc nmn kau
Tama na Iyan,Tma n Yan
hindi halata,hnd hlata
Bakit hindi nila iyan pag usapan,Bkt hndi nla yan pg usapn
anong nangyari sa kanya,anyare s knya
wala naman sakin,wla nmn sken
akala ko naman naghiwalayam na ,kala q nman naghiwlayam n 
parang diyan ginawa,prang dyan gnawa
baka lang iyong tagalaba niyo siguro,bka lng ung tgalaba nio cguro
magulo kasi,mgulo kc
hanggang hindi siya,hnggang d sya
kakampi kahit ano,kkampi khit no
wag na kasi mag inom,wg n kc mg nom
asan dala mo,asn dla m
balatan na buhay,blatan n buhy
intensyon niya eh,ntensyon nia e
respeto nalang sana,rspe2 nlng sna
posisyon natin sa buhay,psisyon ntn s buhy
matapang kana,mtapang kna
kapag pinatulan sumbong,kpg pna2lan smbong
parang nalilitis,prang nali2tis
katulad sa inyo,ka2lad s inu
pulis ka wala ka,plis k wla k
puro nga kayo kurakot,pro nga kau qrakot
tama po,tma p
tumahimik ka pota,2mahimik k pta
dapat lang sawayin,dpt lng swayin
wag ka magtanggi,wg k mgtnggi
palayasin mo na yan,playasin m n yn
naasiwa ako,naacwa aq
ano ka ba,no k b
pero kung uminum wagas,pro kun umnum wgas
nakatatandang angkan,nkattandang angkn
kaya ko siyang depensahan,kya q xang dpenshan
wag kayong kapanalo,wg kaung kpanlo
lasenggo na yan,lsenggo n yn
kasi maingay kayo,kc maingy kau
hindi ka batas,di k btas
kunwari nalang yan,knwri nlng yn
perwisyo ang ganyan,prwsyo an gnyn
parang babaligtad,prang ba2ligtad
mas gago ka,ms ggo k
masama katawan,msma ktwan
panget mo,pnget m
ako na ang nahihiya,aq n an nahi2ya
pulis na naman,plis n nmn
kasi pag pumatol ka,kc pg pmatol k
samantalang andito lang ako,smantlang and2 lng aq
sila may gusto magyabang,cla my gsto mgybang
hindi daw spada hawak niya,d dw spda hwk nya
mahilig po talaga magbanta,mhilig p tlga mgbnta
malilimutan nalang kita,mali2mutn nlng kta
papatay niyo nalang,pa2tay nyo nlng
isa lang masasabi ko,sa lng msa2bi q
saludo sainyo idol,sludo sanyo lodi
mamimihasa lang yan,mami2hsa lng yn
kawawa rin,kwawa rn
mapatay kaagad,mptay kgad
dipota ka,dpta k
pasko na naman,pasq n nmn
tinamaan kaya nasira,tnamaan kya nacra
dapat mag ayos nalang kayo,dpt mg aus nlng kau
pag ganyang edad na,pg gnyng edd n
mas kinikilatis,ms qniqlatis
sinaway na pala kayo,cnaway n pla kau
baka makataga nayan,bka mkatga nyn
pero hindi mo lang alam,pro d m lng alm
Di pa ako nagbabasa,D pko ngbabasa
Sana Naman mabigyan niyo kami,Sna Nmn mbigyan nio kme
Naloko ako dito,Nloko aq d2
Sino dito matapang?,Cno dto mtapang?
kaya baka ganoon talaga siya,kya bka ganun tlaga sya
hindi naman sila,nd nman cla
mahilig pala talaga siya,mhilg pla tlaga xa
Magkatabi lang sila pareho,Mgkatabi lng cla preho
kapag hindi nakuha lahat,kpg nd nkuha lhat
dapat hindi masampay,dpt hnd msampay
iyan siguro,yn cguro 
"ganyan, nakakalimutan nalang","gnyn, nkkalimutan nlng"
hindi iyan kapag siya,nd yn kpg xa
Sabi ko na,Sbi qna
gustong maniwala nila,gus2ng mniwala nla
"naku, walang kwenta","nku, walng kwnta"
bakit naman sila,bkt nmn cla
mukhang di mo pinanuod,mukang dmo pnanuod
akala ko pinapanood mo,kla q pnpanood m
akala ko may bago ka na naman.,kala q my bgo k n namn.
kung pwede lang,kng pwd lng
